/DisorderList/Disorder/DisorderType/Name,/DisorderList/Disorder/Name,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceClass/Name,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceGeographic/Name,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceType/OrphaNumber,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceType/OrphaNumber/#agg,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/@id,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/@id/#agg,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/Name/@lang,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/Name,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/OrphaNumber,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/OrphaNumber/#agg,/DisorderList/Disorder/PrevalenceList/Prevalence/Source,/DisorderList/Disorder/PrevalenceList/Prevalence/ValMoy,/DisorderList/Disorder/PrevalenceList/Prevalence/ValMoy/#agg
Malformation syndrome,Trisomy 13,1-9 / 100 000,Ireland,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2010[REG],7.2,7.2
Malformation syndrome,Trisomy 13,1-5 / 10 000,Malta,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2009[REG],24.1,24.1
Malformation syndrome,Trisomy 13,1-9 / 100 000,Norway,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2010[REG],4.8,4.8
Malformation syndrome,Trisomy 13,1-9 / 100 000,Poland,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2010[REG],2.2,2.2
Malformation syndrome,Trisomy 13,1-9 / 100 000,United Kingdom,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2010[REG],5,5
Malformation syndrome,Trisomy 13,1-9 / 100 000,Ukraine,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2010[REG],3.3,3.3
Malformation syndrome,Trisomy 13,1-5 / 10 000,Japan,409968,409968,25958,25958,en,Validated,410293,410293,2092586[PMID]_7424972[PMID],18,18
Malformation syndrome,Trisomy 13,1-5 / 10 000,Japan,409966,409966,25965,25965,en,Not yet validated,410294,410294,2092586[PMID]_7424972[PMID]_ ORPHANET,15.9,15.9
Malformation syndrome,Trisomy 13,1-5 / 10 000,United States,409968,409968,25958,25958,en,Validated,410293,410293,20878909[PMID]_Center for Diseases Control and Prevention[INST],12.6,12.6
Malformation syndrome,Trisomy 13,1-9 / 100 000,France,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2010[REG],1.9,1.9
Malformation syndrome,Trisomy 13,1-9 / 100 000,Austria,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2009[REG],9.8,9.8
Malformation syndrome,Trisomy 13,1-9 / 100 000,Hungary,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2010[REG],1.1,1.1
Malformation syndrome,Trisomy 13,1-9 / 100 000,Italy,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2010[REG],1.4,1.4
Malformation syndrome,Trisomy 13,1-5 / 10 000,Netherlands,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2010[REG],11.4,11.4
Malformation syndrome,Trisomy 13,1-9 / 100 000,Portugal,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2008[REG],5.2,5.2
Malformation syndrome,Trisomy 13,1-9 / 100 000,Spain,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2010[REG],2.5,2.5
Malformation syndrome,Trisomy 13,1-5 / 10 000,Switzerland,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2007[REG],13.2,13.2
Malformation syndrome,Trisomy 13,1-9 / 1 000 000,Europe,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Immunoglobulin heavy chain deficiency,,,,,,,,,,,,,
Disease,Immunodeficiency due to CD25 deficiency,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,17196245[PMID]_9096364[PMID],2,2
Disease,Immunodeficiency due to CD25 deficiency,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_17196245[PMID]_9096364[PMID],0,0
Disease,Good syndrome,Unknown,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_20149753[PMID],0,0
Disease,Good syndrome,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,20149753[PMID],241,241
Disease,Combined immunodeficiency due to CRAC channel dysfunction,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,[EXPERT],10,10
Disease,Combined immunodeficiency due to CRAC channel dysfunction,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Malformation syndrome,Trisomy 9p,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,25526829[PMID],150,150
Malformation syndrome,Trisomy 9p,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_25526829[PMID],0,0
Disease,Severe combined immunodeficiency due to FOXN1 deficiency,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,28077132[PMID],9,9
Disease,Severe combined immunodeficiency due to FOXN1 deficiency,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_28077132[PMID],0,0
Disease,Combined immunodeficiency due to CD3gamma deficiency,,,,,,,,,,,,,
Disease,Susceptibility to respiratory infections associated with CD8alpha chain mutation,<1 / 1 000 000,Europe,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Primary peritoneal carcinoma,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Peritoneal cystic mesothelioma,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,[EXPERT],150,150
Disease,Peritoneal cystic mesothelioma,Unknown,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Disease,"46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency",Unknown,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,[EXPERT],0,0
Disease,Triose phosphate-isomerase deficiency,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,10916682[PMID]_[EXPERT],50,50
Disease,Triose phosphate-isomerase deficiency,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Disease,Malignant peritoneal mesothelioma,1-9 / 1 000 000,France,409967,409967,25958,25958,en,Validated,410293,410293,[EXPERT],0.2,0.2
Disease,Malignant peritoneal mesothelioma,1-9 / 100 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,European Medicines Agency 2016[INST],0,0
Disease,Malignant peritoneal mesothelioma,1-9 / 1 000 000,Italy,409967,409967,25958,25958,en,Validated,410293,410293,[EXPERT],0.5,0.5
Category,Primary malignant peritoneal tumor,,,,,,,,,,,,,
Category,Primary peritoneal tumor,,,,,,,,,,,,,
Disease,Darier disease,1-9 / 100 000,United Kingdom,409966,409966,25958,25958,en,Validated,410293,410293,1390140[PMID]_11841374[PMID],3,3
Disease,Darier disease,1-9 / 100 000,Denmark,409966,409966,25958,25958,en,Validated,410293,410293,13835928[PMID],1,1
Disease,Darier disease,1-9 / 100 000,Slovenia,409966,409966,25958,25958,en,Validated,410293,410293,16001099[PMID],3.8,3.8
Disease,Darier disease,1-9 / 100 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,1390140[PMID]_11841374[PMID]_16001099[PMID],3.4,3.4
Malformation syndrome,"Heart-hand syndrome, Slovenian type",,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,15996213[PMID]_27723096[PMID],14,14
Malformation syndrome,"Heart-hand syndrome, Slovenian type",<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_15996213[PMID]_27723096[PMID],0,0
Malformation syndrome,Coffin-Siris syndrome,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,22711679[PMID]_11170086[PMID]_23906836[PMID]_24092917[PMID]_23929686[PMID],190,190
Malformation syndrome,Coffin-Siris syndrome,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Disease,Childhood disintegrative disorder,1-9 / 100 000,Europe,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,2,2
Malformation syndrome,Distal monosomy 9p,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,23824832[PMID]_24330994[PMID],89,89
Malformation syndrome,Distal monosomy 9p,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_23824832[PMID]_24330994[PMID],0,0
Disease,Composite lymphoma,<1 / 1 000 000,Europe,409967,409967,25958,25958,en,Validated,410293,410293,RARECARE surveillance of rare cancers in Europe[REG],0.01,0.01
Disease,Refractory anemia with excess blasts in transformation,<1 / 1 000 000,Europe,409967,409967,25958,25958,en,Validated,410293,410293,RARECARE surveillance of rare cancers in Europe[REG],0.04,0.04
Malformation syndrome,"47,XYY syndrome",1-5 / 10 000,Denmark,409966,409966,25965,25965,en,Not yet validated,410294,410294,20509956[PMID],0,0
Malformation syndrome,"47,XYY syndrome",1-5 / 10 000,Europe,409968,409968,25965,25965,en,Not yet validated,410294,410294,22893477[PMID],50,50
Malformation syndrome,"47,XYY syndrome",1-5 / 10 000,Denmark,409968,409968,25958,25958,en,Validated,410293,410293,20509956[PMID],14.1,14.1
Malformation syndrome,"47,XYY syndrome",1-5 / 10 000,Europe,409966,409966,25965,25965,en,Not yet validated,410294,410294,22893477[PMID],0,0
Malformation syndrome,Distal monosomy 7q36,,,,,,,,,,,,,
Clinical group,Hypereosinophilic syndrome,<1 / 1 000 000,United States,409967,409967,25958,25958,en,Validated,410293,410293,20639012[PMID],0.027,0.027
Clinical group,Hypereosinophilic syndrome,1-9 / 100 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,European Medicines Agency 2004[INST],1.5,1.5
Clinical group,Hypereosinophilic syndrome,1-9 / 100 000,United States,409966,409966,25958,25958,en,Validated,410293,410293,20639012[PMID]_[EXPERT],3.3,3.3
Clinical group,Hypereosinophilic syndrome,<1 / 1 000 000,Europe,409967,409967,25958,25958,en,Validated,410293,410293,RARECARE surveillance of rare cancers in Europe[REG],0,0
Disease,Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement,,,,,,,,,,,,,
Malformation syndrome,Monosomy 18q,1-9 / 100 000,Worldwide,409968,409968,25965,25965,en,Not yet validated,410294,410294,21977138[PMID]_1614460[PMID],2.5,2.5
Disease,Myeloid/lymphoid neoplasm associated with PDGFRB rearrangement,,,,,,,,,,,,,
Disease,Myeloid/lymphoid neoplasm associated with PDGFRA rearrangement,,,,,,,,,,,,,
Disease,Monosomy 18p,1-9 / 100 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_[EXPERT],0,0
Disease,Monosomy 18p,1-9 / 100 000,Europe,409968,409968,25958,25958,en,Validated,410293,410293,18284672[PMID]_[EXPERT],2,2
Category,"Myeloid/lymphoid neoplasms associated with eosinophilia and abnormality of PDGFRA, PDGFRB or FGFR1",,,,,,,,,,,,,
Disease,Chronic eosinophilic leukemia,,,,,,,,,,,,,
Malformation syndrome,Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,7515752[PMID],2,2
Malformation syndrome,Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_7515752[PMID],0,0
Malformation syndrome,Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,728577[PMID],3,3
Malformation syndrome,Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_728577[PMID],0,0
Disease,Isolated complex I deficiency,Unknown,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_15190193[PMID]_20818732[PMID],0,0
Category,Immune dysregulation disease with immunodeficiency,,,,,,,,,,,,,
Disease,Large congenital melanocytic nevus,1-9 / 100 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,21139903[PMID]_[EXPERT]_ ORPHANET,2.75,2.75
Disease,Refsum disease,1-9 / 1 000 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,20301527[PMID]_[EXPERT],0.1,0.1
Disease,Refsum disease,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,ISBN 13:9789350901885[OTHER]_[EXPERT],60,60
Malformation syndrome,Pentasomy X,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency,,,,,,,,,,,,,
Clinical group,Glycogen storage disease due to phosphorylase kinase deficiency,1-9 / 100 000,Europe,409968,409968,25958,25958,en,Validated,410293,410293,[EXPERT],1,1
Clinical group,Glycogen storage disease due to phosphorylase kinase deficiency,1-9 / 100 000,Europe,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Immunodeficiency due to a late component of complement deficiency,,,,,,,,,,,,,
Disease,T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,,,,,,,,,,,,,
Clinical group,Neurodegeneration with brain iron accumulation,1-9 / 1 000 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,[EXPERT]_European Medicines Agency 2018[INST],0.2,0.2
Disease,T-B+ severe combined immunodeficiency due to CD45 deficiency,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_9068311[PMID]_10700239[PMID]_22689986[PMID],0,0
Disease,T-B+ severe combined immunodeficiency due to CD45 deficiency,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,9068311[PMID]_10700239[PMID]_22689986[PMID],3,3
Disease,Transient hypogammaglobulinemia of infancy,,,,,,,,,,,,,
Disease,"Progressive epilepsy-intellectual disability syndrome, Finnish type",Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Immunodeficiency due to a classical component pathway complement deficiency,,,,,,,,,,,,,
Disease,Recurrent infection due to specific granule deficiency,,,,,,,,,,,,,
Category,Galactosemia,1-9 / 100 000,Europe,409968,409968,25958,25958,en,Validated,410293,410293,ORPHANET,2,2
Category,Galactosemia,1-9 / 100 000,Europe,409967,409967,25958,25958,en,Validated,410293,410293,[EXPERT]_ORPHANET,2.1,2.1
Category,Galactosemia,1-9 / 100 000,United States,409968,409968,25958,25958,en,Validated,410293,410293,22766612[PMID],1.3,1.3
Category,Galactosemia,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,X-linked centronuclear myopathy,1-9 / 100 000,France,409968,409968,25958,25958,en,Validated,410293,410293,18817572[PMID]_[EXPERT],1,1
Disease,X-linked centronuclear myopathy,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,X-linked centronuclear myopathy,1-9 / 1 000 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,European Medicines Agency 2015[INST],0.2,0.2
Clinical group,Immuno-osseous dysplasia,,,,,,,,,,,,,
Category,DNA repair defect other than combined T-cell and B-cell immunodeficiencies,,,,,,,,,,,,,
Category,Immunodeficiency syndrome with autoimmunity,,,,,,,,,,,,,
Disease,Bethlem myopathy,1-9 / 1 000 000,United Kingdom,409966,409966,25958,25958,en,Validated,410293,410293,19767415[PMID],0.77,0.77
Disease,Bethlem myopathy,<1 / 1 000 000,Europe,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Autosomal recessive centronuclear myopathy,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Malformation syndrome,Incontinentia pigmenti,1-9 / 1 000 000,United States,409968,409968,25958,25958,en,Validated,410293,410293,[EXPERT]_Texas Birth Defect Registry[REG],0.62,0.62
Malformation syndrome,Incontinentia pigmenti,1-9 / 100 000,Europe,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2005-2012[REG],1.2,1.2
Malformation syndrome,Incontinentia pigmenti,1-9 / 1 000 000,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Malformation syndrome,Tetrasomy 18p,1-9 / 1 000 000,Europe,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Category,Familial scaphocephaly syndrome,,,,,,,,,,,,,
Disease,Autosomal dominant centronuclear myopathy,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Neonatal adrenoleukodystrophy,1-9 / 100 000,Italy,409968,409968,25958,25958,en,Validated,410293,410293,11953730[PMID],1.2,1.2
Disease,Neonatal adrenoleukodystrophy,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Alkaptonuria,1-9 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,[EXPERT],0,0
Disease,Alkaptonuria,1-9 / 1 000 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,European Medicines Agency 2003[INST],0,0
Disease,Alkaptonuria,1-9 / 1 000 000,France,409968,409968,25958,25958,en,Validated,410293,410293,21927854[PMID],0.15,0.15
Disease,Alkaptonuria,1-9 / 1 000 000,France,409966,409966,25965,25965,en,Not yet validated,410294,410294,21927854[PMID],0,0
Disease,Alkaptonuria,1-9 / 1 000 000,United States,409968,409968,25965,25965,en,Not yet validated,410294,410294,20301627[PMID],0.25,0.25
Disease,Alkaptonuria,1-9 / 1 000 000,United States,409966,409966,25965,25965,en,Not yet validated,410294,410294,20301627[PMID],0,0
Disease,Alkaptonuria,1-9 / 100 000,Slovakia,409968,409968,25958,25958,en,Validated,410293,410293,12051967[PMID],5.3,5.3
Disease,Alkaptonuria,1-9 / 100 000,Slovakia,409966,409966,25958,25958,en,Validated,410293,410293,12051967[PMID],0,0
Disease,Acromegaly,1-9 / 1 000 000,Worldwide,409967,409967,25958,25958,en,Validated,410293,410293,17893253[PMID]_26792654[PMID]_ORPHANET_[EXPERT],0.47,0.47
Disease,Acromegaly,1-9 / 100 000,Spain,409966,409966,25958,25958,en,Validated,410293,410293,15476442[PMID],3.6,3.6
Disease,Acromegaly,1-9 / 100 000,Italy,409966,409966,25958,25958,en,Validated,410293,410293,20621957[PMID],9.7,9.7
Disease,Acromegaly,1-9 / 100 000,United Kingdom,409966,409966,25958,25958,en,Validated,410293,410293,19650784[PMID],8.6,8.6
Disease,Acromegaly,1-9 / 1 000 000,Belgium,409967,409967,25958,25958,en,Validated,410293,410293,17893253[PMID],0.19,0.19
Disease,Acromegaly,1-5 / 10 000,Belgium,409966,409966,25958,25958,en,Validated,410293,410293,[EXPERT]_17893253[PMID],12,12
Disease,Acromegaly,1-9 / 1 000 000,Ireland,409967,409967,25958,25958,en,Validated,410293,410293,2349750[PMID],0.4,0.4
Disease,Acromegaly,1-9 / 100 000,Ireland,409966,409966,25958,25958,en,Validated,410293,410293,2349750[PMID],6.3,6.3
Disease,Acromegaly,1-9 / 1 000 000,Finland,409967,409967,25958,25958,en,Validated,410293,410293,20534753[PMID],0.34,0.34
Disease,Acromegaly,1-9 / 1 000 000,"Korea, Republic of",409967,409967,25958,25958,en,Validated,410293,410293,22909047[PMID],0.39,0.39
Disease,Acromegaly,1-9 / 100 000,"Korea, Republic of",409966,409966,25958,25958,en,Validated,410293,410293,22909047[PMID],2.79,2.79
Disease,Acromegaly,1-9 / 1 000 000,Iceland,409967,409967,25958,25958,en,Validated,410293,410293,25893613[PMID],0.77,0.77
Disease,Acromegaly,1-5 / 10 000,Iceland,409966,409966,25958,25958,en,Validated,410293,410293,25893613[PMID],13.4,13.4
Disease,Acromegaly,1-9 / 100 000,United States,409966,409966,25958,25958,en,Validated,410293,410293,26792654[PMID],7.8,7.8
Disease,Acromegaly,1-9 / 100 000,United States,409967,409967,25958,25958,en,Validated,410293,410293,26792654[PMID],1.1,1.1
Disease,Acromegaly,1-9 / 100 000,Denmark,409966,409966,25958,25958,en,Validated,410293,410293,27280374[PMID],8.5,8.5
Disease,Acromegaly,1-9 / 1 000 000,Malta,409967,409967,25958,25958,en,Validated,410293,410293,23239049[PMID],0.31,0.31
Disease,Acromegaly,1-5 / 10 000,Malta,409966,409966,25958,25958,en,Validated,410293,410293,23239049[PMID],12.5,12.5
Disease,Acromegaly,1-9 / 1 000 000,Sweden,409967,409967,25958,25958,en,Validated,410293,410293,25084775[PMID],0.35,0.35
Disease,Acromegaly,1-9 / 1 000 000,Denmark,409967,409967,25958,25958,en,Validated,410293,410293,27280374[PMID],0.38,0.38
Disease,Acromegaly,1-9 / 100 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_[EXPERT],0,0
Malformation syndrome,Blue rubber bleb nevus,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,ORPHANET,200,200
Malformation syndrome,Blue rubber bleb nevus,Unknown,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Disease,Alopecia antibody deficiency,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,978318[PMID],3,3
Disease,Alopecia antibody deficiency,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_978318[PMID],0,0
Malformation syndrome,Lethal hemolytic anemia-genital anomalies syndrome,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,7726230[PMID],2,2
Malformation syndrome,Lethal hemolytic anemia-genital anomalies syndrome,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_7726230[PMID],0,0
Disease,Succinic semialdehyde dehydrogenase deficiency,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,20301374[PMID],450,450
Disease,Succinic semialdehyde dehydrogenase deficiency,Unknown,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_20301374[PMID],0,0
Disease,Mevalonic aciduria,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,16722536[PMID],30,30
Disease,Mevalonic aciduria,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Malformation syndrome,Nager syndrome,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,ISBN:1437725562[OTHER],100,100
Malformation syndrome,Nager syndrome,Unknown,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_ISBN:1437725562[OTHER],0,0
Malformation syndrome,Nager syndrome,1-9 / 1 000 000,Finland,409968,409968,25958,25958,en,Validated,410293,410293,17119427[PMID],0.3,0.3
Disease,Hereditary orotic aciduria,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,25757096[PMID],20,20
Disease,Hereditary orotic aciduria,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_25757096[PMID],0,0
Malformation syndrome,Acrocallosal syndrome,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,22696705[PMID],38,38
Malformation syndrome,Acrocallosal syndrome,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_22696705[PMID],0,0
Malformation syndrome,Aarskog-Scott syndrome,1-9 / 1 000 000,Europe,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2005-2012[REG],0.5,0.5
Malformation syndrome,Aarskog-Scott syndrome,Unknown,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Malformation syndrome,Nail-patella syndrome,1-9 / 100 000,United Kingdom,409966,409966,25958,25958,en,Validated,410293,410293,DOI:10.1111/j.1469-1809.1965.tb00492.x[OTHER]_10972657[PMID]_[EXPERT],2.2,2.2
Malformation syndrome,Nail-patella syndrome,1-9 / 100 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_10972657[PMID],0,0
Malformation syndrome,Nail-patella syndrome,1-9 / 1 000 000,Europe,409968,409968,25958,25958,en,Validated,410293,410293,EUROCAT European surveillance of congenital anomalies 2005-2012[REG],0.2,0.2
Disease,Isovaleric acidemia,1-9 / 100 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,[EXPERT],1,1
Disease,Isovaleric acidemia,1-9 / 100 000,Germany,409968,409968,25965,25965,en,Not yet validated,410294,410294,12777559[PMID]_21335445[PMID],1.55,1.55
Disease,Isovaleric acidemia,1-9 / 1 000 000,Australia,409968,409968,25958,25958,en,Validated,410293,410293,12788994[PMID],0.28,0.28
Disease,Isovaleric acidemia,1-9 / 1 000 000,Italy,409968,409968,25958,25958,en,Validated,410293,410293,18956250[PMID],0.63,0.63
Disease,Isovaleric acidemia,1-9 / 1 000 000,United States,409968,409968,25965,25965,en,Not yet validated,410294,410294,16601872[PMID]_16735252[PMID]_ ORPHANET,0.53,0.53
Category,Rare cardiac tumor,,,,,,,,,,,,,
Malformation syndrome,Smith-Magenis syndrome,1-9 / 100 000,Worldwide,409968,409968,25965,25965,en,Not yet validated,410294,410294,17468296[PMID],0,0
Malformation syndrome,Smith-Magenis syndrome,1-9 / 100 000,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,17468296[PMID],4,4
Malformation syndrome,Smith-Magenis syndrome,1-9 / 100 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,[EXPERT]_ORPHANET,5.35,5.35
Malformation syndrome,Smith-Magenis syndrome,1-9 / 100 000,United States,409968,409968,25965,25965,en,Not yet validated,410294,410294,1746552[PMID]_16354942[PMID],0,0
Malformation syndrome,Smith-Magenis syndrome,1-9 / 100 000,United States,409966,409966,25965,25965,en,Not yet validated,410294,410294,1746552[PMID]_16354942[PMID]_ ORPHANET,5.35,5.35
Malformation syndrome,Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,8456839[PMID]_1251844[PMID],2,2
Malformation syndrome,Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_8456839[PMID]_1251844[PMID],0,0
Malformation syndrome,Tetrasomy X,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,23494840[PMID],50,50
Malformation syndrome,Tetrasomy X,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_23494840[PMID],0,0
Biological anomaly,Hereditary persistence of alpha-fetoprotein,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,21116028[PMID],19,19
Biological anomaly,Hereditary persistence of alpha-fetoprotein,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_21116028[PMID],0,0
Biological anomaly,Congenital deficiency in alpha-fetoprotein,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,18854864[PMID],22,22
